GO Term	Aeropyrum_pernix	Aquifex_aeolicus	Archaeoglobus_fulgidus	Canarchaeum_symbisosum	Escherichia_coli	Haladaptatus_paucihalophilus	Halalkalicoccus_jeotgali	Hyperthermus_butylicus	Methanoccus_jannaschii	Methanococcoides_burtonii	Methanococcoides_methylutens	Methanopyrus_kandleri	Methanosarcina_lacustris	Methanothermus_fervidus	Micrococcus_lueus	Nanohaloarchea_archaeon	Nitrosopumulis_maritimus	Pseudomonas_aeruginosa	Pyrococcus_feriosus	Pyrodicitium_abyssi	Pyrolobus_fumarii	Salmonella_enterica	Staphylococcus_aureus	Sulfolobus_acidocaldarius	Thermocrinis_minerv	Thermocrinus_ruber	Thermotoga_maritima
GO:0016787	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0016785	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0
GO:0016257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	18	0	0	0	0	0
GO:0071259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174
GO:1990689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0
GO:0045137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	1	0	0	65	0	0	0
GO:2000276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0
GO:2000279	0	0	0	0	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0033615	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0033616	0	0	0	356	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0033613	0	0	0	0	0	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0097377	0	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0075073	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0
GO:1901903	0	0	0	0	0	0	0	0	4	0	0	49	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:1901901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	114	0	0	200	0	1	290	0	0	3
GO:0051444	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0
GO:0005912	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	246	0	0	1	0	0	0	0	0
GO:0005840	148	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0035519	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	133	0
GO:0004796	0	0	0	0	1	0	0	0	0	4	1	0	0	0	28	0	132	0	9	0	0	0	0	0	0	0	0
GO:0016703	0	0	0	74	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GO:1900714	0	0	7	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0
GO:0061219	0	0	0	45	0	303	0	0	0	0	0	0	0	0	0	0	0	4	0	0	6	0	6	12	0	0	0
GO:0061212	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
GO:0061213	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0001525	0	0	0	0	0	0	0	153	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0015946	0	0	0	0	1	4	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0015948	17	95	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	4	0
GO:0097056	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241
GO:0009211	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	70	0	0	114	0	0	125	0	0	0
GO:0009212	0	0	0	0	0	0	0	0	0	3	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	3	0
GO:0033493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0
GO:0034658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	2	0
